Review details
"Construction Etail
2 reviews






5 years ago
Very poor response, No one receiving call not transfer to sales person. They not require sales. thats why not attend client

2

Share"
"Kamal Melkani
Local Guide · 52 reviews · 18 photos






6 years ago
Nice place to work.....  walking distance from local train station....

2

Share"
"Sandhya Sawant
1 review






a year ago
24 C paint with golden heart people....

1

Share"
"Thomas Vazhakunnathu
4 reviews






4 years ago
Best quality products. Extra coverage saves money also.

2

Share"
"Naveen Gandhari
3 reviews · 1 photo






6 years ago
Akzonobel paints nice quality but need to improvement advertisement like (asain paint)

3

Share"
"Aniket Raut
4 reviews






5 years ago
Bad people not report any one specialy security

1

Share"
"Moulik Bathani
Local Guide · 14 reviews · 10 photos






4 years ago
They don't respond to customer properly.

Like

Share"
"AMEL AKKARA
27 reviews · 13 photos






10 years ago
The best place to work:)

2

Share"
"Shamshad Ahmad
2 reviews · 7 photos






a year ago
Good 👍👍 …

Like

Share"
"Govind Pandit
3 reviews






6 years ago
My work place

5

Share"
